InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
566985,22361,GLASS JAR DAISY FRESH COTTON WOOL,1,2011-09-16,5.79,,United Kingdom
552465,23209,LUNCH BAG DOILEY PATTERN ,10,2011-05-09,1.65,16242.0,United Kingdom
577723,20727,LUNCH BAG  BLACK SKULL.,2,2011-11-21,1.65,16713.0,United Kingdom
548312,22804,CANDLEHOLDER PINK HANGING HEART,4,2011-03-30,2.95,16059.0,United Kingdom
576329,20840,FRENCH FLORAL CUSHION COVER ,3,2011-11-14,3.29,,United Kingdom
553886,23201,JUMBO BAG ALPHABET,10,2011-05-19,1.95,15648.0,United Kingdom
568715,22989,SET 2 PANTRY DESIGN TEA TOWELS,1,2011-09-28,3.25,17783.0,United Kingdom
548167,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,1,2011-03-29,4.13,,United Kingdom
537915,22561,WOODEN SCHOOL COLOURING SET,12,2010-12-09,1.65,12797.0,Portugal
546422,22457,NATURAL SLATE HEART CHALKBOARD ,4,2011-03-13,2.95,15547.0,United Kingdom
575136,23274,STAR T-LIGHT HOLDER WILLIE WINKIE,12,2011-11-08,1.65,15103.0,United Kingdom
566484,85049E,SCANDINAVIAN REDS RIBBONS,12,2011-09-13,1.25,13880.0,United Kingdom
546275,22281,EASTER TREE YELLOW BIRDS,2,2011-03-10,5.95,13126.0,United Kingdom
566249,22144,CHRISTMAS CRAFT LITTLE FRIENDS,1,2011-09-11,2.1,13527.0,United Kingdom
C541654,21843,RED RETROSPOT CAKE STAND,-6,2011-01-20,10.95,12540.0,Spain
578519,22327,ROUND SNACK BOXES SET OF 4 SKULLS,1,2011-11-24,2.95,14591.0,United Kingdom
577078,21098,CHRISTMAS TOILET ROLL,6,2011-11-17,2.46,,United Kingdom
575875,22024,RAINY LADIES BIRTHDAY CARD,1,2011-11-11,0.83,,United Kingdom
543182,22383,LUNCH BAG SUKI  DESIGN ,1,2011-02-04,4.13,,United Kingdom
555931,22244,3 HOOK HANGER MAGIC GARDEN,12,2011-06-08,1.95,17828.0,Malta
577557,21982,PACK OF 12 SUKI TISSUES ,1,2011-11-20,0.39,15426.0,United Kingdom
541971,22325,MOBILE VINTAGE HEARTS ,1,2011-01-24,11.63,,United Kingdom
568909,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2011-09-29,2.95,16818.0,United Kingdom
545530,23176,ABC TREASURE BOOK BOX ,8,2011-03-03,2.25,17416.0,United Kingdom
561007,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,2011-07-22,2.08,15640.0,United Kingdom
539041,22422,TOOTHPASTE TUBE PEN,6,2010-12-15,0.65,15456.0,United Kingdom
559693,85176,SEWING SUSAN 21 NEEDLE SET,3,2011-07-11,0.79,,United Kingdom
544105,21669,BLUE STRIPE CERAMIC DRAWER KNOB,24,2011-02-16,1.25,17567.0,United Kingdom
C556635,22697,GREEN REGENCY TEACUP AND SAUCER,-1,2011-06-13,2.95,13505.0,Switzerland
551529,23206,LUNCH BAG APPLE DESIGN,40,2011-05-01,1.65,12524.0,Germany
569521,22432,WATERING CAN PINK BUNNY,1,2011-10-04,1.95,16474.0,United Kingdom
571180,22485,SET OF 2 WOODEN MARKET CRATES,6,2011-10-14,12.75,15498.0,United Kingdom
555562,21975,PACK OF 60 DINOSAUR CAKE CASES,5,2011-06-05,0.55,17841.0,United Kingdom
564230,22382,LUNCH BAG SPACEBOY DESIGN ,11,2011-08-24,4.96,,United Kingdom
576345,22644,CERAMIC CHERRY CAKE MONEY BANK,12,2011-11-14,1.45,12374.0,Austria
540646,21032,SPACE CADET WHITE,2,2011-01-10,0.85,,United Kingdom
543989,22666,RECIPE BOX PANTRY YELLOW DESIGN,96,2011-02-15,2.55,12415.0,Australia
571914,22523,CHILDS GARDEN FORK PINK,12,2011-10-19,0.85,14776.0,United Kingdom
552234,84923,PINK BUTTERFLY HANDBAG W BOBBLES,1,2011-05-06,4.13,,United Kingdom
568517,22277,COSMETIC BAG VINTAGE ROSE PAISLEY,1,2011-09-27,2.1,14456.0,United Kingdom
553141,22277,COSMETIC BAG VINTAGE ROSE PAISLEY,1,2011-05-13,2.1,15907.0,United Kingdom
556459,22182,CAKE STAND VICTORIAN FILIGREE SMALL,1,2011-06-10,4.13,,United Kingdom
574918,47591D,PINK FAIRY CAKE CHILDRENS APRON,1,2011-11-07,1.95,,France
544911,22832,BROCANTE SHELF WITH HOOKS,2,2011-02-24,10.75,16838.0,United Kingdom
569897,22866,HAND WARMER SCOTTY DOG DESIGN,1,2011-10-06,2.1,17813.0,United Kingdom
578065,21935,SUKI  SHOULDER BAG,5,2011-11-22,1.63,,United Kingdom
564958,23256,CHILDRENS CUTLERY SPACEBOY ,8,2011-08-31,4.15,13089.0,United Kingdom
541695,85174,S/4 CACTI CANDLES,1,2011-01-20,4.13,,United Kingdom
572550,22768,FAMILY PHOTO FRAME CORNICE,1,2011-10-24,19.96,,United Kingdom
574051,90160C,TURQ+RED BOUDICCA LARGE BRACELET,1,2011-11-02,6.95,14102.0,United Kingdom
559052,20977,36 PENCILS TUBE WOODLAND,1,2011-07-05,2.46,,United Kingdom
567656,22116,METAL SIGN HIS DINNER IS SERVED,3,2011-09-21,1.63,14096.0,United Kingdom
572283,22569,FELTCRAFT CUSHION BUTTERFLY,2,2011-10-23,3.75,15000.0,United Kingdom
540185,16161P,WRAP ENGLISH ROSE ,25,2011-01-05,0.42,14653.0,United Kingdom
541421,22214,CANDLE PLATE LACE WHITE,4,2011-01-17,1.63,,United Kingdom
573340,23309,SET OF 60 I LOVE LONDON CAKE CASES ,2,2011-10-30,0.55,14159.0,United Kingdom
565150,23183,MOTHER'S KITCHEN SPOON REST ,6,2011-09-01,3.29,14298.0,United Kingdom
556080,21242,RED RETROSPOT PLATE ,3,2011-06-08,3.29,,United Kingdom
576617,84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,3,2011-11-15,3.29,,United Kingdom
557277,22138,BAKING SET 9 PIECE RETROSPOT ,3,2011-06-19,4.95,16484.0,United Kingdom
564221,22469,HEART OF WICKER SMALL,5,2011-08-24,4.13,,United Kingdom
539324,22563,HAPPY STENCIL CRAFT,1,2010-12-16,1.25,14985.0,United Kingdom
542624,20711,JUMBO BAG TOYS ,2,2011-01-31,4.13,,United Kingdom
